frame,support_len,confidence_sum
741,9,8.683826
742,9,8.642939
743,10,8.074953
744,10,8.066469
745,9,7.257868
746,10,8.070565
747,9,7.253660
748,10,8.075536
749,8,6.466250
750,11,8.913744
751,10,8.091680
752,9,7.285228
753,11,8.908018
754,10,8.086862
755,8,6.445808
756,10,8.065028
757,9,7.244324
758,10,8.058282
759,9,7.264254
760,10,8.055812
761,9,7.253056
762,11,8.875615
763,9,7.249733
764,10,9.679036
765,9,8.436754
766,9,8.752331
767,8,7.762035
768,9,8.184748
769,10,9.678552
770,10,9.689776
771,9,8.726813
772,10,9.686055
773,8,7.721132
774,9,7.284836
775,9,7.295950
776,10,8.114973
777,10,8.113924
778,9,7.312148
779,10,8.113208
780,10,8.092649
781,9,7.272577
782,10,8.117761
783,9,7.296406
784,10,8.089559
785,10,8.099300
786,9,7.288798
787,10,8.103167
788,10,8.112424
789,9,7.295786
790,10,8.103476
791,8,6.474234
792,10,8.076450
793,10,8.078506
794,9,7.274858
795,10,9.846639
796,10,9.840926
797,9,8.784085
798,10,9.668681
799,10,9.682746
800,9,8.742443
801,10,9.662235
802,9,8.719955
803,9,8.019288
804,10,8.914115
805,9,8.714286
806,10,9.672783
807,10,9.739589
808,9,8.723042
809,8,7.656041
810,10,9.694702
811,10,9.695783
812,9,8.681792
813,9,7.547237
814,10,8.966556
815,9,7.991110
816,11,10.115372
817,9,7.996457
818,10,9.907133
819,10,9.874085
820,10,9.910125
821,8,7.103255
822,11,10.841246
823,9,8.355594
824,10,9.522154
825,9,8.565407
826,10,9.868205
827,8,7.459354
828,9,8.852709
829,11,10.800664
830,9,8.758472
831,9,8.884697
832,8,7.782319
833,11,10.730364
834,9,8.851553
835,9,8.813606
836,11,9.760116
837,9,7.985549
838,9,8.802329
839,8,7.913805
840,11,10.808004
841,9,8.921576
842,10,9.842753
843,9,8.816877
844,9,8.831698
845,8,7.866876
846,10,9.831321
847,9,8.870979
848,9,8.338701
849,10,9.774098
850,9,8.806733
851,8,6.825682
852,9,7.603806
853,9,7.574676
854,10,9.667320
855,9,8.779878
856,9,8.886054
857,8,7.892087
858,9,8.644260
859,9,8.519508
860,10,9.819085
861,10,9.801339
862,9,8.653854
863,8,7.686379
864,9,7.991992
865,9,8.777260
866,9,8.809122
867,9,8.727541
868,9,8.740260
869,8,7.718310
870,11,10.767606
871,9,8.788534
872,9,8.787098
873,10,9.721160
874,10,9.750070
875,8,7.108538
876,9,8.839251
877,9,8.874385
878,9,8.508169
879,9,8.201884
880,5,4.556805
881,9,8.923587
882,11,10.859919
883,9,8.916329
884,10,9.851665
885,11,10.905995
886,9,8.888299
887,11,10.838299
888,10,9.867778
889,10,9.846918
890,10,9.843308
891,10,9.868356
892,10,9.821201
893,10,9.618644
894,10,9.618644
895,9,8.649382
896,11,10.580905
897,9,8.681825
898,11,10.590395
899,10,9.618644
900,10,9.614819
901,9,8.656780
902,11,10.587026
903,10,9.613777
904,9,8.818425
905,11,10.574573
906,10,9.620995
907,10,9.616611
908,10,9.587738
909,10,9.678292
910,10,9.642946
911,8,7.698321
912,9,8.893135
913,9,8.287825
914,9,8.570283
915,10,9.857284
916,9,8.896483
917,8,7.152043
918,9,8.920488
919,9,8.879089
920,9,8.841793
921,9,8.856506
922,10,9.867317
923,9,8.883440
924,10,9.844582
925,9,8.843156
926,10,9.875790
927,10,9.887674
928,9,8.000169
929,7,6.904211
930,10,9.686897
931,9,8.901244
932,9,8.643563
933,10,9.880094
934,9,8.668561
935,8,7.909949
936,9,8.845687
937,10,9.822741
938,9,8.528363
939,9,8.835223
940,9,8.796413
941,9,8.012827
942,10,9.456880
943,9,8.266896
944,9,8.336403
945,10,9.788587
946,9,8.738601
947,9,8.862947
948,9,8.831692
949,9,8.874706
950,9,8.865055
951,10,9.910687
952,9,8.842871
953,8,7.831158
954,9,8.780222
955,10,8.896266
956,9,8.002886
957,9,8.761206
958,10,9.804688
959,8,7.861498
960,9,8.873260
961,9,8.793224
962,11,10.454572
963,10,9.833868
964,9,8.855779
965,10,9.559333
966,9,8.859465
967,9,7.946641
968,10,9.871436
969,10,9.189955
970,9,7.905979
971,8,7.143064
972,10,9.881854
973,9,8.895585
974,10,9.879650
975,10,9.904914
976,9,8.918923
977,10,9.845838
978,10,9.842962
979,9,8.857396
980,10,9.161590
981,10,9.351794
982,9,8.179205
983,8,6.860784
984,11,10.625659
985,9,8.784760
986,10,9.700060
987,9,8.871469
988,9,8.007382
989,9,8.024238
990,9,8.643680
991,10,9.580427
992,10,9.667261
993,9,8.634421
994,10,9.537661
995,8,7.800503
996,9,8.716660
997,9,8.714286
998,9,7.319781
999,11,8.915836
1000,9,7.303650
1001,10,8.081109
1002,9,7.272700
1003,10,8.084189
1004,10,8.076823
1005,9,7.286651
1006,9,7.283184
1007,11,8.922363
1008,9,7.292629
1009,11,8.932287
1010,9,7.303811
1011,10,8.112451
1012,10,8.116195
1013,8,6.476829
1014,10,8.082051
1015,9,7.289292
1016,10,8.088004
1017,9,7.273846
1018,9,7.287495
1019,10,9.899939
1020,9,8.866302
1021,9,7.995669
1022,10,9.315883
1023,9,7.697149
1024,10,9.117968
1025,8,7.260661
1026,10,9.874498
1027,9,8.905839
1028,9,8.928242
1029,10,9.926321
1030,9,8.872003
1031,8,6.496327
1032,10,8.129897
1033,9,7.294845
1034,9,7.291762
1035,9,7.302760
1036,9,7.301908
1037,10,8.105704
1038,9,7.315397
1039,10,8.132842
1040,9,7.323238
1041,10,8.089174
1042,10,8.114840
1043,9,7.294848
1044,10,8.105940
1045,10,8.092784
1046,9,7.283505
1047,10,8.109731
1048,9,7.285059
1049,11,8.910548
1050,9,7.285176
1051,10,9.691053
1052,9,8.676858
1053,9,8.723169
1054,10,9.622090
1055,8,7.676040
1056,10,9.671400
1057,9,8.656918
1058,10,9.662453
1059,9,8.701826
1060,10,8.869483
1061,9,7.992764
1062,10,9.605975
1063,9,8.723164
1064,10,9.680821
1065,9,8.830176
